ticker,bhc_name,primary_cert,rssdhcr
RF,REGIONS FINANCIAL CORP,12368,3242838
KEY,KEYCORP,17534,1068025
CFG,CITIZENS FINANCIAL GROUP INC,57957,1132449
HBAN,HUNTINGTON BANCSHARES INC,6560,1068191
FITB,FIFTH THIRD BCORP,6672,1070345
MTB,M&T BANK CORP,588,1037003
TFC,TRUIST FINANCIAL CORP,9846,1074156
USB,U S BCORP,6548,1119794
PNC,PNC FINL SERVICES GROUP INC,6384,1069778
WAL,WESTERN ALLIANCE BCORP,57512,2349815
EWBC,EAST WEST BCORP INC,31628,2734233
CFR,CULLEN FROST BANKERS INC,5510,1102367
FHN,FIRST HORIZON CORP,4977,1094640
WTFC,WINTRUST FINANCIAL CORP,33935,2260406
WBS,WEBSTER FINANCIAL CORP,18221,1145476
SSB,SOUTHSTATE BANK CORP,33555,1133437
UMBF,UMB FINANCIAL CORP,8273,1049828
BPOP,POPULAR INC,34968,1129382
COLB,COLUMBIA BANKING SYSTEM INC,17266,2078816
FCNCA,FIRST CITIZENS BANCSHARES INC,11063,1075612
